Cliente,Veiculo,Data,Inicio,Fim,Registros CAN,Km Inicial,Km Final,Km Percorrido,Consumo Combustivel (L),Horas Motor,Media Km/L,Velocidade Media,Velocidade Maxima,Temperatura Motor Media,Temperatura Motor Maxima,Temperatura Ambiente Media,Pressao Ar Media,Pressao Ar Maxima,Economia Combustivel Media,Temperatura Cabine Media
Londrina,1155,28-06-2026,28-06-2026 02:01:47,28-06-2026 22:54:11,4140,119028,119049,21,6.189,1,3.3931168201648085,32.55172413793103,65,67.68831168831169,90,28.571428571428573,989.8129496402878,1080,20786.47655748234,0
Londrina,1156,27-06-2026,27-06-2026 20:00:00,27-06-2026 22:51:10,10045,138815,138878,63,20.809,1,3.0275361622374932,28.446509110589933,69,90.65432098765432,93,27.28980891719745,1045.3400250941029,1088,18435.52049603858,
Londrina,1156,28-06-2026,28-06-2026 00:05:01,28-06-2026 23:13:14,35865,138878,139070,192,78.946,9,2.4320421553973604,25.28185599308594,66,89.29390018484288,102,31.14905814905815,1042.1950549450548,1088,18443.753370258124,0
Londrina,1157,27-06-2026,27-06-2026 20:11:52,27-06-2026 23:15:30,10881,114132,114187,55,24.098,2,2.282347082745456,24.436637851756483,68,90.09309309309309,99,28.637413394919168,1036.11,1080,17197.85373190449,
Londrina,1157,28-06-2026,28-06-2026 00:31:08,28-06-2026 20:46:53,760,114187,114188,1,0.579,0,1.7271157167530227,9.844696969696969,27,56.05,86,30.869565217391305,971.6622222222222,1080,24712.730864197532,0
Londrina,1158,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:21:08,11921,95643,95703,60,22.963,2,2.6128990114532074,24.157877865042476,67,90.39402173913044,94,25.49003984063745,1038.9873890705278,1088,17195.97165742452,
Londrina,1158,28-06-2026,28-06-2026 00:23:31,28-06-2026 23:59:59,69389,95703,96088,385,141.115,19,2.728271268114658,24.695410292072324,70,88.92007266121708,97,26.613468634686345,1039.0366842149244,1088,19500.821317542563,0
Londrina,1158,29-06-2026,29-06-2026 00:00:00,29-06-2026 00:35:28,2073,96088,96093,5,1.194,,4.1876046901172534,24.616541353383457,64,84.2258064516129,89,28.857142857142858,1026.7701492537312,1080,20799.954802259886,
Londrina,1159,27-06-2026,27-06-2026 20:22:05,27-06-2026 20:40:30,1104,99549,99549,0,0.626,,0,8.784313725490197,23,72.86363636363636,81,29.82857142857143,1045.7513513513513,1096,20975.768786127166,
Londrina,1161,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:24:54,12033,106882,106949,67,25.73,3,2.6039642440730666,24.931677931237143,69,86.1,90,26.0974930362117,1051.510658016682,1088,18071.418099161812,
Londrina,1161,28-06-2026,28-06-2026 00:19:16,28-06-2026 23:58:34,67502,106949,107330,381,137.75,19,2.765880217785844,23.96378211597797,66,85.75624421831637,90,27.233842538190363,1052.5339185192252,1104,20176.719475990765,0
Londrina,1161,29-06-2026,29-06-2026 00:09:59,29-06-2026 00:20:57,654,,,,0.432,,,6.801587301587301,23,84,86,39.666666666666664,1043.357142857143,1080,22777.31216931217,
Londrina,1162,27-06-2026,27-06-2026 22:29:39,27-06-2026 22:55:52,1470,99721,99730,9,2.555,0,3.522504892367906,26.197050938337803,60,77.74137931034483,87,26.19047619047619,986.2,1088,18942.22118742724,
Londrina,1162,28-06-2026,28-06-2026 02:12:38,28-06-2026 20:22:57,2582,99730,99730,0,1.039,0,0,9.858181818181817,31,56.05172413793103,85,28.045454545454547,865.4669509594883,1096,24360.133016627078,0
Londrina,1163,27-06-2026,27-06-2026 20:00:00,27-06-2026 22:31:01,9043,93720,93768,48,16.812,2,2.8551034975017844,23.210866261398177,66,88.75384615384615,93,25.188034188034187,962.7350808700502,1104,18362.764227642278,
Londrina,1164,27-06-2026,27-06-2026 20:00:00,27-06-2026 22:28:45,8821,94196,94237,41,15.216,2,2.6945320715036805,21.53418903150525,56,88.85090909090908,93,27.905844155844157,1044.6345698500395,1080,19018.34831951113,
Londrina,1164,28-06-2026,28-06-2026 01:41:31,28-06-2026 21:36:16,43708,94237,94476,239,83.755,12,2.853560981433944,24.732160758224733,65,88.2990291262136,99,30.644943820224718,1040.4673374380538,1096,19652.422499279925,0
